form	lemma	xpostag	NER-BIO
A	a	[/Det|Art.Def]	O
vírusos	vírusos	[/Adj][Nom]	O
fertőzést	fertőzés	[/N][Acc]	O
okozó	okozó	[/Adj][Nom]	O
járvány	járvány	[/N][Nom]	O
kitörése	kitörés	[/N][Poss.3Sg][Nom]	O
abban	az	[/Det|Pro][Ine]	O
a	a	[/Det|Art.Def]	O
városban	város	[/N][Ine]	O
történt	történik	[/V][Pst.NDef.3Sg]	O
,	,	[Punct]	O
amelynek	amely	[/N|Pro|Rel][Dat]	O
központi	központi	[/Adj][Nom]	O
pályaudvarán	pályaudvar	[/N][Poss.3Sg][Supe]	O
keresztül	keresztül	[/Post|(Supe)]	O
zajlik	zajlik	[/V][Prs.NDef.3Sg]	O
a	a	[/Det|Art.Def]	O
kínai	kínai	[/Adj][Nom]	O
belföldi	belföldi	[/Adj][Nom]	O
szállítás	szállítás	[/N][Nom]	O
legnagyobb	nagy	[/Supl][/Adj][_Comp/Adj][Nom]	O
része	rész	[/N][Poss.3Sg][Nom]	O
,	,	[Punct]	O
a	a	[/Det|Art.Def]	O
tartomány	tartomány	[/N][Nom]	O
székvárosa	székváros	[/N][Poss.3Sg][Nom]	O
,	,	[Punct]	O
nehézipari	nehézipari	[/Adj][Nom]	O
központ	központ	[/N][Nom]	O
és	és	[/Cnj]	O
a	a	[/Det|Art.Def]	O
kilenc	kilenc	[/Num][Nom]	O
legfontosabb	fontos	[/Supl][/Adj][_Comp/Adj][Nom]	O
kínai	kínai	[/Adj][Nom]	O
tartomány	tartomány	[/N][Nom]	O
közlekedési	közlekedési	[/Adj][Nom]	O
központja	központ	[/N][Poss.3Sg][Nom]	O
is	is	[/Adv]	O
.	.	[Punct]	O

Tömegesen	tömeges	[/Adj][_Manner/Adv]	O
jelentek	jelenik	[/V][Prs.NDef.2Pl]	O
meg	meg	[/Prev]	O
tüdőgyulladásos	tüdőgyulladásos	[/Adj][Nom]	O
betegségben	betegség	[/N][Ine]	O
szenvedő	szenvedő	[/Adj][Nom]	O
emberek	ember	[/N][Pl][Nom]	O
a	a	[/Det|Art.Def]	O
városban	város	[/N][Ine]	O
,	,	[Punct]	O
amelynek	amely	[/N|Pro|Rel][Dat]	O
nem	nem	[/Adv]	O
volt	van	[/V][Pst.NDef.3Sg]	O
egyértelműen	egyértelmű	[/Adj][_Manner/Adv]	O
meghatározható	meghatározható	[/Adj][Nom]	O
oka	ok	[/N][Poss.3Sg][Nom]	O
.	.	[Punct]	O

December	december	[/N][Nom]	O
31-én	31-én	[/N][Nom]	O
ismeretlen	ismeretlen	[/Adj][Nom]	O
etiológiájú	etiológiájú	[/Adj][Nom]	O
tüdőgyulladás	tüdőgyulladás	[/N][Nom]	O
járvány	járvány	[/N][Nom]	O
kitöréséről	kitörés	[/N][Poss.3Sg][Del]	O
számoltak	számol	[/V][Pst.NDef.3Pl]	O
be	be	[/Prev]	O
a	a	[/Det|Art.Def]	O
kínai	kínai	[/Adj][Nom]	O
egészségügyi	egészségügyi	[/Adj][Nom]	O
hatóságok	hatóság	[/N][Pl][Nom]	O
a	a	[/Det|Art.Def]	O
Egészségügyi	egészségügyi	[/Adj][Nom]	B-ORG
Világszervezetnek	világszervezet	[/N][Dat]	E-ORG
(	(	[Punct]	O
WHO	WHO	[/N][Nom]	1-ORG
)	)	[Punct]	O
.	.	[Punct]	O

Elsősorban	elsősorban	[/Adv]	O
a	a	[/Det|Art.Def]	O
„	„	[/N][Nom]	O
Huanan	Huanan	[/N][Nom]	O
tenger	tenger	[/N][Nom]	O
gyümölcsei	gyümölcs	[/N][Pl.Poss.3Sg][Nom]	O
nagykereskedelmi	nagykereskedelmi	[/Adj][Nom]	O
piac	piac	[/N][Nom]	O
”	”	[Punct]	O
árusaival	árus	[/N][Pl.Poss.3Sg][Ins]	O
kapcsolták	kapcsol	[/V][Pst.Def.3Pl]	O
össze	össze	[/Prev]	O
a	a	[/Det|Art.Def]	O
megbetegedéseket	megbetegedés	[/N][Pl][Acc]	O
,	,	[Punct]	O
ahol	ahol	[/Adv|Pro|Rel]	O
élő	élő	[/Adj][Nom]	O
állatokat	állat	[/N][Pl][Acc]	O
is	is	[/Adv]	O
értékesítenek	értékesít	[/V][Prs.NDef.3Pl]	O
.	.	[Punct]	O

A	a	[/Det|Art.Def]	O
