form	lemma	xpostag	NP-BIO	NER-BIO
Mátraszentanna	Mátraszentanna	[/N][Nom]	B-NP	O
kicsi	kicsi	[/Adj][Nom]	I-NP	O
hegyi	hegyi	[/Adj][Nom]	I-NP	O
község	község	[/N][Nom]	E-NP	O
.	.	[Punct]	O	O
Csatornázása	csatornázás	[/N][Poss.3Sg][Nom]	1-NP	O
nincs	nincs	[/V][Prs.NDef.3Sg]	O	O
.	.	[Punct]	O	O
Ahhoz	az	[/Det|Pro][All]	1-NP	O
,	,	[Punct]	O	O
hogy	hogy	[/Cnj]	O	O
valakinek	valaki	[/N|Pro][Dat]	1-NP	O
vízöblítéses	vízöblítéses	[/Adj][Nom]	B-NP	O
árnyékszéke	árnyékszék	[/N][Poss.3Sg][Nom]	E-NP	O
legyen	van	[/V][Sbjv.NDef.3Sg]	O	O
,	,	[Punct]	O	O
külön	külön	[/Adj][Nom]	B-NP	O
kútszivattyút	kútszivattyú	[/N][Acc]	E-NP	O
kell	kell	[/V][Prs.NDef.3Sg]	O	O
felszerelnie	felszerel	[/V][Inf.3Sg]	O	O
.	.	[Punct]	O	O
Ilyet	ilyen	[/Adj|Pro][Acc]	1-NP	O
azonban	azonban	[/Cnj]	O	O
csak	csak	[/Adv]	O	O
Cipriani	Cipriani	[/N][Nom]	B-NP	O
professzor	professzor	[/N][Nom]	I-NP	O
,	,	[Punct]	I-NP	O
a	a	[/Det|Art.Def]	I-NP	O
község	község	[/N][Nom]	E-NP	O
egyetlen	egyetlen	[/Num][Nom]	B-NP	O
villatulajdonosa	villatulajdonos	[/N][Poss.3Sg][Nom]	E-NP	O
mondhatott	mond	[/V][_Mod/V][Pst.NDef.3Sg]	O	O
a	a	[/Det|Art.Def]	B-NP	O
magáénak	maga	[/N|Pro][3Sg][AnP][Dat]	E-NP	O
.	.	[Punct]	O	O
A	a	[/Det|Art.Def]	B-NP	O
többiek	többi	[/Adj|Pro][Pl][Nom]	E-NP	O
álmodni	álmodik	[/V][Inf]	O	O
se	se	[/Adv]	O	O
mertek	mer	[/V][Prs.NDef.2Pl]	O	O
róla	ő	[/N|Pro][Del][3Sg]	1-NP	O
.	.	[Punct]	O	O
Tóték	Tót	[/N][Fam.Pl][Nom]	1-NP	O
se	se	[/Adv]	O	O
.	.	[Punct]	O	O
Tótéknak	Tót	[/N][Fam.Pl][Dat]	1-NP	O
,	,	[Punct]	O	O
mint	mint	[/Cnj]	O	O
a	a	[/Det|Art.Def]	B-NP	O
többi	többi	[/Adj|Pro][Nom]	I-NP	O
kisembereknek	kisember	[/N][Pl][Dat]	E-NP	O
,	,	[Punct]	O	O
csak	csak	[/Adv]	O	O
budijuk	budi	[/N][Poss.3Pl][Nom]	1-NP	O
volt	van	[/V][Pst.NDef.3Sg]	O	O
.	.	[Punct]	O	O
Tóték	Tót	[/N][Fam.Pl][Nom]	O	O
